UUID,Name,Price,Description
9ff7de0c-acc9-4cee-a99c-c6fbafa237c9,IPhone 12,999,Apple Smartphone cool
d13321cb-7353-4a08-8b29-f39ec9e653cb,IPad Pro,800,Apple Tablet wow
01fcf2d6-2686-4714-a9e6-4c19be120ffc,Galaxy S20,984,Samsung phone
c0a9a688-ea0f-4816-a141-0b12e6a6c6be,Pixel 6,699,Newest google phone
538051e8-f2ac-452e-a61f-f012455eefa8,Macbook,1299,unix based laptop
c4f6f737-ae3a-4d80-9168-0019ca3d1ef1,GTX 3070,894,nvidia graphics card
b5868dc8-9ed6-4d7e-ac5c-a450fd7cc54e,500GB SSD,84.99,very fast ssd medium
65fd8e71-5c38-4671-a255-82bdad3e79da,Monitor 144Hz,211.99,be faster than other players
b8025414-fe28-4f9d-9adc-8b1477a86c2c,Ladekabel USB-C,9.99,charge your phone
02c4e7b9-dcc3-48d7-8e8b-0024397daddf,USB Stick 64GB,13.89,i will die on you in 1 month
